"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.815780900E-1,-6.460500360E-1,6.711000443E0,6.576000214E0,9.417998004E0
3.841082490E-1,-7.410000563E-1,6.619950294E0,6.637950420E0,9.403999616E0
3.866410950E-1,-5.470499992E-1,6.703950405E0,6.958950520E0,9.678285337E0
3.891684820E-1,-3.420000076E-1,6.904950142E0,7.279950142E0,1.003957044E1
3.916987100E-1,-5.020500422E-1,7.042050362E0,7.311000347E0,1.016332886E1
3.942287970E-1,-7.770000100E-1,6.931950092E0,7.081050396E0,9.939664773E0
3.967617200E-1,-8.749500513E-1,6.715950489E0,7.062000275E0,9.784752242E0
3.992891070E-1,-8.130000234E-1,6.832950115E0,7.119000435E0,9.901027397E0
4.018192590E-1,-7.699500322E-1,6.994050503E0,7.117050171E0,1.000809515E1
4.043491820E-1,-7.579500079E-1,6.856950283E0,7.183950424E0,9.959989914E0
4.068821050E-1,-7.030500174E-1,6.805050373E0,7.174050331E0,9.913122014E0
4.094094920E-1,-6.460500360E-1,6.927000523E0,7.129050255E0,9.961128170E0
4.119395670E-1,-5.350500345E-1,6.904950142E0,7.074000359E0,9.899802830E0
4.144697060E-1,-4.540500343E-1,6.904950142E0,6.954000473E0,9.810332333E0
4.170023980E-1,-4.830000103E-1,6.910050392E0,6.691050529E0,9.630796572E0
4.195300150E-1,-6.930000186E-1,6.685050488E0,6.484950542E0,9.339418214E0
4.220599360E-1,-8.850000501E-1,6.595950127E0,6.517950535E0,9.315227444E0
4.245900900E-1,-7.369500399E-1,6.690000534E0,6.784050465E0,9.556282918E0
4.271229360E-1,-3.990000188E-1,6.832950115E0,7.219950199E0,9.948672734E0
4.296503230E-1,-4.660500288E-1,6.988950253E0,7.306050301E0,1.012131411E1
4.321804750E-1,-8.299500346E-1,6.987000465E0,7.141050339E0,1.002504825E1
4.347106240E-1,-9.949500561E-1,6.790050507E0,7.083000183E0,9.862231142E0
4.372433160E-1,-8.539500237E-1,6.781050205E0,7.174050331E0,9.908525152E0
4.397709330E-1,-7.870500088E-1,6.936000347E0,7.227000237E0,1.004774009E1
4.423008540E-1,-8.059500456E-1,6.892950535E0,7.227000237E0,1.001957359E1
4.448309840E-1,-7.800000310E-1,6.730950356E0,7.198050499E0,9.885647360E0
4.473638300E-1,-7.050000429E-1,6.862050533E0,7.213050365E0,9.980624137E0
4.498912170E-1,-5.329500437E-1,6.948000431E0,7.146000385E0,9.981185663E0
4.524213690E-1,-5.350500345E-1,6.928950310E0,6.949050426E0,9.827814241E0
4.549515090E-1,-5.879999995E-1,6.960000515E0,6.736050129E0,9.703696332E0
4.574842010E-1,-6.820500493E-1,6.805050373E0,6.523050308E0,9.451142162E0
4.600115880E-1,-8.299500346E-1,6.691950321E0,6.517950535E0,9.378416462E0
4.625417400E-1,-7.009500265E-1,6.703950405E0,6.733950138E0,9.527873133E0
4.650719220E-1,-4.540500343E-1,6.781050205E0,7.171950340E0,9.880570581E0
4.676047690E-1,-4.609500170E-1,7.008000374E0,7.347000122E0,1.016380613E1
4.701321550E-1,-7.170000076E-1,7.051050186E0,7.165050507E0,1.007816186E1
4.726623070E-1,-8.920500278E-1,6.859950542E0,7.009050369E0,9.847916621E0
4.751924610E-1,-8.710500598E-1,6.706950188E0,6.997050285E0,9.731424445E0
4.777251960E-1,-7.870500088E-1,6.865050316E0,6.991950512E0,9.830347680E0
4.802525830E-1,-7.609500289E-1,6.940950394E0,7.039950371E0,9.915479743E0
4.827827350E-1,-7.720500231E-1,6.798000336E0,7.074000359E0,9.841257586E0
4.853128890E-1,-6.360000372E-1,6.850050449E0,7.174050331E0,9.939551567E0
4.878457450E-1,-5.310000181E-1,6.922050476E0,7.195950508E0,9.998922318E0
4.903731310E-1,-4.900500178E-1,6.904950142E0,7.045050144E0,9.876801963E0
4.929032830E-1,-5.670000315E-1,6.960000515E0,6.778950214E0,9.732279395E0
4.954334370E-1,-6.580500603E-1,6.798000336E0,6.604050159E0,9.500490353E0
4.979661540E-1,-7.840500474E-1,6.619950294E0,6.517950535E0,9.323205219E0
5.004935410E-1,-8.040000200E-1,6.642000198E0,6.748050213E0,9.502566198E0
5.030236930E-1,-5.310000181E-1,6.798000336E0,7.183950424E0,9.904741959E0
5.055538470E-1,-3.700500131E-1,6.946050167E0,7.411050320E0,1.016406497E1
5.080867020E-1,-6.310500503E-1,6.999000549E0,7.260000229E0,1.010405048E1
5.106140880E-1,-8.779500127E-1,6.868950367E0,7.062000275E0,9.890658383E0
5.131442400E-1,-8.800500631E-1,6.798000336E0,7.035000324E0,9.822348306E0
5.156741630E-1,-7.800000310E-1,6.903000355E0,7.057050228E0,9.902614396E0
5.182070860E-1,-7.680000067E-1,6.936000347E0,7.117050171E0,9.967463467E0
5.207344730E-1,-7.249500155E-1,6.820950508E0,7.171950340E0,9.924101473E0
5.232646250E-1,-6.930000186E-1,6.877050400E0,7.228950500E0,1.000158970E1
5.257947790E-1,-6.019500494E-1,6.987000465E0,7.240950108E0,1.008027171E1
5.283276250E-1,-4.969500303E-1,6.904950142E0,7.159950256E0,9.959426864E0
5.308550120E-1,-5.230500102E-1,6.907950401E0,6.862950325E0,9.751586908E0
5.333851630E-1,-6.240000129E-1,6.855000496E0,6.601950169E0,9.537617829E0
5.359153170E-1,-7.290000319E-1,6.726000309E0,6.468000412E0,9.359783680E0
5.384480050E-1,-7.720500231E-1,6.690000534E0,6.553950310E0,9.397150262E0
5.409753910E-1,-5.070000291E-1,6.726000309E0,6.904050350E0,9.652048509E0
5.435055430E-1,-3.559500277E-1,6.934050560E0,7.263000488E0,1.004783229E1
5.460356200E-1,-5.350500345E-1,7.102050304E0,7.189050198E0,1.011967587E1
5.485685430E-1,-7.920000553E-1,6.964950562E0,7.042950153E0,9.936847955E0
5.510959300E-1,-8.470500112E-1,6.759000301E0,7.083000183E0,9.827027546E0
5.536260820E-1,-7.819500566E-1,6.786000252E0,7.134000301E0,9.877003878E0
5.561560050E-1,-7.320000529E-1,6.924000263E0,7.168950558E0,9.993570724E0
5.586889280E-1,-7.750500441E-1,6.775950432E0,7.198050499E0,9.915953702E0
5.612163140E-1,-7.960500121E-1,6.747000217E0,7.198050499E0,9.897860301E0
5.637464660E-1,-6.430500150E-1,6.871950150E0,7.215000153E0,9.984660204E0
5.662765430E-1,-4.800000191E-1,6.895950317E0,7.156950474E0,9.950199540E0
5.688094710E-1,-4.830000103E-1,6.910050392E0,6.955950260E0,9.816686277E0
5.713368580E-1,-5.740500093E-1,6.856950283E0,6.673950195E0,9.585870425E0
5.738670100E-1,-7.219500542E-1,6.640050411E0,6.508950233E0,9.326195070E0
5.763969330E-1,-8.160000443E-1,6.574950218E0,6.592050076E0,9.346173048E0
5.789298610E-1,-6.169500351E-1,6.687000275E0,6.937050343E0,9.655012557E0
5.814572470E-1,-3.700500131E-1,6.820950508E0,7.366050243E0,1.004594441E1
